Возраст,Среднемесячный расход,Средняя продолжительность разговоров,Звонков днем за месяц,Звонков вечером за месяц,Звонков ночью за месяц,Звонки в другие города,Звонки в другие страны,Доля звонков на стационарные телефоны,Количество SMS за месяц,Дата подключения тарифа
50,343.73,3.8,62.0,54.0,0,31,0,8,1,2021-04-27 14:15:49
68,39.0,2.5,9.0,4.0,0,0,0,4,3,2020-11-30 16:09:17
68,55.2,2.3,8.0,,0,0,0,10,1,2017-12-06 17:27:28
41,952.28,7.6,41.0,121.0,0,0,0,11,5,2018-08-12 13:42:40
26,569.29,5.4,65.0,71.0,7,0,0,9,14,2015-11-30 16:08:19
65,73.92,2.2,16.0,12.0,0,0,0,7,0,2021-08-13 10:14:34
63,77.52,3.4,9.0,10.0,0,0,0,6,1,2015-12-06 18:01:23
51,424.82,5.4,62.0,33.0,7,0,0,16,5,2019-10-15 18:22:56
31,1922.36,14.4,109.0,123.0,25,6,0,5,79,2016-11-25 18:24:12
39,591.58,7.4,56.0,44.0,5,0,0,29,22,2018-04-09 16:17:31
38,357.42,3.1,65.0,89.0,0,7,1,22,3,2017-12-06 14:06:06
41,223.91,1.9,90.0,58.0,0,0,0,14,39,2017-04-27 10:47:16
51,1148.51,6.0,184.0,112.0,9,76,0,43,8,2021-11-12 12:01:04
36,853.45,6.6,111.0,46.0,0,11,0,2,58,2021-07-07 12:58:08
20,32.87,0.4,23.0,101.0,10,3,0,3,46,2021-07-19 16:04:10
52,265.69,4.3,42.0,38.0,0,5,1,7,4,2021-09-04 10:09:15
53,232.96,2.6,40.0,72.0,0,3,0,12,4,2021-09-28 14:36:11
54,,2.8,51.0,95.0,5,0,1,15,2,2021-08-04 13:34:47
59,532.02,7.2,42.0,57.0,0,10,0,12,0,2020-11-25 15:56:21
19,340.03,3.4,,102.0,10,4,0,3,26,2020-10-20 12:27:58
44,467.46,5.3,62.0,36.0,6,0,0,2,16,2018-03-13 12:55:21
69,25.92,1.2,9.0,9.0,0,0,0,2,1,2017-04-29 14:58:13
59,302.03,2.9,77.0,54.0,1,0,0,16,5,2021-09-30 11:50:20
56,232.95,2.3,51.0,86.0,2,0,1,20,2,2020-02-02 12:45:47
56,670.32,5.6,33.0,124.0,0,33,0,11,1,2018-07-04 14:06:17
53,14.41,1.1,10.0,6.0,0,0,0,0,0,2015-02-09 10:34:26
33,612.96,8.3,48.0,36.0,3,30,0,1,17,2015-06-18 17:26:13
53,2556.34,9.8,260.0,131.0,37,42,0,55,8,2018-01-31 15:14:32
40,172.56,2.1,48.0,60.0,4,22,2,14,44,2016-11-27 18:38:34
49,554.32,3.8,93.0,98.0,0,22,0,6,1,2019-10-30 15:07:04
55,1548.2,9.9,104.0,98.0,3,40,0,3,4,2019-02-20 18:17:02
68,50.4,3.5,5.0,7.0,0,0,0,2,0,2015-04-20 10:24:07
67,14.4,1.5,3.0,5.0,0,0,0,9,1,2021-12-23 15:30:11
39,199.7,,67.0,47.0,1,13,0,5,36,2016-06-30 18:29:47
40,1236.03,9.9,68.0,,4,0,0,14,66,2017-07-03 17:34:17
37,149.1,1.2,67.0,81.0,3,1,0,22,22,2017-11-03 15:03:07
55,616.11,5.2,69.0,89.0,0,0,0,0,3,2019-11-19 15:22:50
47,13.51,1.1,11.0,4.0,0,0,0,0,0,2019-06-12 16:13:56
33,508.22,5.2,100.0,64.0,30,49,2,4,65,2019-06-28 10:01:13
26,,2.9,63.0,84.0,2,0,0,9,39,2015-09-20 15:39:24
55,365.32,3.7,65.0,64.0,0,15,0,19,5,2016-09-02 10:05:19
48,484.44,,,45.0,4,0,0,11,4,2016-08-10 16:06:26
33,17.04,1.3,11.0,5.0,0,0,0,0,0,2021-08-31 13:45:19
61,1529.92,6.4,243.0,91.0,15,32,5,48,15,2015-02-14 14:23:36
49,162.43,1.5,67.0,76.0,0,4,0,3,4,2018-07-20 11:21:39
53,18.72,1.2,3.0,10.0,0,0,0,2,1,2018-11-22 16:46:18
38,1053.15,9.9,59.0,84.0,0,0,0,19,21,2017-02-17 13:34:47
35,206.01,3.3,30.0,56.0,0,20,0,8,60,2017-11-29 13:44:51
60,571.39,3.9,109.0,75.0,2,0,0,5,0,2016-09-03 13:10:42
26,,6.6,46.0,82.0,0,0,1,16,48,2020-07-27 17:56:09
29,1977.5,18.2,100.0,78.0,42,38,0,0,62,2018-01-26 13:16:26
54,117.37,1.1,69.0,68.0,5,22,0,10,3,2015-12-02 16:55:35
25,336.7,3.7,60.0,45.0,2,31,0,22,14,2020-08-05 11:13:02
54,354.76,2.8,59.0,98.0,0,1,0,0,5,2019-09-19 18:06:07
47,419.97,3.8,33.0,126.0,1,3,0,3,3,2016-02-12 13:13:02
64,7.2,1.2,4.0,1.0,0,0,0,3,3,2016-07-21 12:01:41
45,1399.65,9.3,46.0,148.0,4,0,2,17,2,2016-01-20 15:32:06
64,63.48,2.3,18.0,5.0,0,0,0,4,1,2021-09-06 18:25:21
46,154.28,1.9,79.0,5.0,0,0,0,3,0,2020-03-06 17:03:22
66,71.76,2.3,17.0,9.0,0,0,0,1,1,2021-06-11 12:22:14
44,,7.0,34.0,117.0,0,0,0,20,9,2016-03-06 16:32:37
52,263.08,3.5,37.0,66.0,0,0,0,8,2,2019-08-27 13:40:46
47,134.06,2.3,41.0,32.0,3,4,0,14,1,2020-06-15 12:11:37
46,88.44,,44.0,3.0,3,0,0,15,4,2019-12-21 11:44:26
54,23.34,1.9,10.0,5.0,0,0,0,0,0,2019-12-20 17:47:46
40,420.42,4.4,60.0,65.0,0,34,0,9,18,2015-05-11 10:09:53
56,291.62,2.8,111.0,6.0,3,22,0,1,5,2017-01-06 15:40:49
44,337.74,2.2,90.0,113.0,2,0,0,10,32,2018-03-31 10:30:18
32,1285.94,9.2,111.0,121.0,48,6,2,1,86,2018-04-29 15:38:32
30,1631.12,15.6,70.0,109.0,25,44,0,9,63,2015-10-02 17:47:29
55,581.0,8.3,58.0,18.0,2,12,1,26,4,2019-11-09 17:01:19
45,199.18,2.1,63.0,44.0,5,25,0,18,3,2021-06-08 10:37:29
25,833.63,8.8,75.0,85.0,27,4,0,9,44,2021-01-10 11:37:01
47,164.35,1.2,93.0,84.0,0,0,0,6,0,2016-08-11 14:19:53
38,105.17,1.3,67.0,32.0,0,14,0,8,26,2021-06-07 18:21:10
33,428.96,5.2,72.0,26.0,3,0,0,14,60,2018-01-12 13:36:06
57,468.77,6.6,,54.0,7,0,0,9,3,2021-07-27 17:36:26
37,643.72,7.6,31.0,75.0,6,7,0,11,38,2015-02-04 12:40:05
56,931.55,6.4,108.0,75.0,3,9,0,10,5,2020-12-13 13:04:09
69,12.48,2.6,2.0,2.0,0,0,0,0,2,2017-03-14 12:45:26
21,141.01,1.7,36.0,79.0,7,2,0,0,54,2020-08-29 14:31:29
20,411.18,4.4,,74.0,27,3,0,5,40,2016-11-29 17:44:21
28,332.2,3.5,50.0,76.0,4,0,0,27,28,2020-07-14 17:46:23
42,12.6,1.4,8.0,2.0,0,0,0,0,0,2015-02-09 13:20:50
57,288.05,3.4,70.0,34.0,0,7,0,7,3,2016-09-22 10:59:44
30,268.87,2.3,60.0,82.0,2,0,0,9,19,2021-06-20 14:17:58
38,483.14,3.4,99.0,63.0,0,2,0,6,21,2017-05-21 17:19:57
31,274.32,2.9,43.0,86.0,5,0,0,19,48,2019-10-31 16:58:52
65,48.6,2.7,6.0,9.0,0,0,0,7,1,2016-12-21 17:14:26
44,211.17,1.7,64.0,101.0,8,5,0,1,28,2015-06-27 13:55:36
38,196.64,2.1,84.0,27.0,2,32,0,13,49,2018-06-05 10:54:36
46,876.36,4.9,109.0,100.0,5,0,0,2,1,2018-04-16 11:23:38
57,,6.2,89.0,59.0,6,11,0,22,4,2016-06-15 10:51:04
35,2504.1,17.0,115.0,119.0,23,5,2,9,123,2016-07-17 12:08:41
27,243.21,2.3,49.0,97.0,0,5,0,6,27,2019-05-13 14:48:25
34,487.88,3.7,,138.0,2,0,0,22,5,2020-11-08 16:27:17
32,954.19,,95.0,138.0,48,9,0,0,57,2017-07-06 15:33:08
50,17.12,1.1,8.0,11.0,0,0,0,0,0,2016-05-09 15:55:02
49,3636.63,11.0,376.0,119.0,48,8,3,28,14,2018-09-02 12:02:18
30,180.4,2.4,64.0,28.0,0,0,0,4,32,2018-09-13 11:28:31
47,226.8,2.7,48.0,53.0,0,16,0,2,2,2020-04-05 12:09:56
49,3451.0,11.6,289.0,121.0,30,8,0,13,5,2021-12-16 15:36:06
70,39.0,2.5,12.0,1.0,0,0,0,5,2,2019-11-30 18:26:24
49,172.2,2.0,55.0,46.0,0,0,3,0,3,2017-02-11 16:25:06
54,259.26,3.7,43.0,49.0,0,38,0,0,3,2017-04-18 15:53:54
49,123.37,1.5,42.0,55.0,7,0,0,0,5,2020-06-15 13:12:08
42,226.45,1.5,80.0,125.0,0,0,0,2,49,2015-03-13 13:11:15
47,307.54,3.4,86.0,21.0,0,6,0,2,4,2016-09-08 12:28:24
36,22.68,1.8,11.0,3.0,0,0,0,0,0,2018-06-18 10:57:55
47,320.32,3.2,48.0,75.0,0,0,1,13,2,2016-05-28 16:02:16
46,257.6,3.2,60.0,28.0,6,28,0,24,3,2016-11-10 17:56:15
32,1037.4,8.0,120.0,88.0,59,6,0,2,102,2019-09-11 14:49:28
33,734.21,6.8,38.0,115.0,3,0,0,5,31,2017-10-05 14:26:27
20,359.4,5.2,26.0,66.0,33,2,0,13,45,2020-02-21 11:04:20
19,228.41,2.6,60.0,61.0,9,0,0,0,44,2015-02-08 14:29:50
26,213.65,3.9,60.0,2.0,0,5,2,9,25,2019-11-27 18:42:02
27,687.2,9.3,58.0,31.0,8,42,0,17,35,2018-05-31 10:07:40
28,,9.4,115.0,137.0,49,3,0,10,98,2020-07-19 12:53:23
43,177.38,2.8,,38.0,3,16,0,24,39,2018-10-12 16:32:49
20,164.6,3.4,7.0,64.0,10,0,1,5,66,2015-06-21 10:10:23
45,136.64,3.9,29.0,14.0,0,1,0,6,0,2021-03-27 12:50:14
42,19.66,1.2,10.0,10.0,0,0,0,0,0,2019-11-29 12:51:49
19,135.3,3.6,7.0,48.0,8,0,1,4,74,2017-02-06 15:54:15
53,536.99,6.0,56.0,58.0,7,2,0,12,3,2018-05-11 10:30:14
44,197.92,2.6,32.0,71.0,7,0,0,14,28,2017-10-22 13:53:47
26,432.14,3.2,56.0,131.0,4,3,2,23,46,2016-11-29 18:17:18
49,359.27,4.0,55.0,64.0,0,7,0,15,3,2015-02-08 12:34:40
50,849.52,7.4,35.0,115.0,0,18,0,10,4,2020-05-09 18:50:03
51,398.51,3.4,61.0,98.0,0,20,1,10,2,2021-08-20 10:10:53
34,162.54,2.7,51.0,14.0,0,40,0,23,15,2018-05-20 17:44:01
54,435.33,5.1,55.0,55.0,4,0,0,28,5,2019-05-18 16:16:15
50,748.35,6.6,44.0,114.0,4,2,0,12,2,2016-03-28 10:39:52
46,296.8,2.0,48.0,144.0,2,0,0,30,4,2017-02-15 17:14:08
25,375.19,3.8,56.0,76.0,0,43,1,19,22,2018-12-23 12:21:27
30,469.98,3.4,86.0,96.0,0,0,0,29,35,2019-08-02 13:36:38
69,36.48,1.6,11.0,8.0,0,0,0,10,1,2020-11-30 16:56:10
36,,7.6,114.0,129.0,21,7,0,9,69,2016-08-10 12:09:24
36,693.97,6.2,91.0,95.0,38,27,0,0,94,2016-03-26 14:04:56
45,2215.61,12.4,169.0,95.0,33,'29',0,23,8,2019-08-13 10:40:18
51,89.88,1.2,48.0,40.0,0,0,0,0,3,2016-08-12 16:43:38
41,325.83,3.0,69.0,71.0,5,1,0,16,18,2020-03-17 18:15:42
64,27.36,1.2,7.0,12.0,0,0,0,11,1,2015-08-09 18:51:15
33,619.01,7.4,48.0,50.0,5,10,1,8,17,2018-08-21 10:08:56
35,367.68,3.9,69.0,51.0,0,0,0,11,37,2017-10-10 14:23:31
20,40.0,0.4,48.0,107.0,4,0,0,1,60,2016-06-21 13:27:35
37,453.54,4.0,56.0,99.0,0,0,0,20,32,2019-03-17 14:33:42
21,598.14,6.0,49.0,103.0,9,0,0,4,90,2016-10-14 11:39:57
38,375.96,2.6,111.0,70.0,0,12,0,12,3,2015-02-15 16:01:19
51,460.53,5.1,,46.0,2,7,0,21,3,2018-05-15 18:20:49
48,298.9,3.5,52.0,49.0,0,14,0,28,1,2018-06-11 11:12:26
52,9.72,1.8,3.0,3.0,0,0,0,0,0,2017-01-30 12:52:37
55,900.48,9.6,41.0,76.0,0,37,2,1,5,2019-10-30 17:57:12
49,360.22,3.9,52.0,72.0,0,6,0,4,4,2020-02-17 15:35:23
59,907.2,8.1,83.0,43.0,0,6,0,1,5,2021-04-28 14:33:50
59,390.35,3.2,67.0,95.0,5,4,0,8,4,2020-07-05 16:57:34
31,1239.64,9.6,85.0,133.0,37,19,0,14,94,2017-06-09 11:19:36
39,384.62,3.7,58.0,64.0,5,7,0,1,54,2021-04-03 18:03:07
42,270.02,2.7,48.0,89.0,0,34,0,8,37,2019-05-23 13:43:17
50,136.83,1.2,71.0,78.0,2,4,0,13,2,2021-05-21 17:06:09
51,798.56,6.2,66.0,90.0,2,0,0,26,4,2017-07-14 14:04:18
45,393.28,4.2,36.0,95.0,4,0,0,15,1,2021-07-09 14:35:11
31,305.9,2.3,58.0,109.0,0,7,0,3,53,2016-05-04 15:47:36
35,653.43,4.6,50.0,153.0,0,3,0,11,8,2016-03-25 16:11:02
55,397.58,5.7,47.0,42.0,3,31,0,3,4,2016-05-11 18:40:11
26,222.73,2.1,34.0,117.0,3,36,0,0,26,2020-10-26 11:01:17
41,463.42,5.0,68.0,48.0,3,2,0,30,34,2018-01-07 12:51:44
51,321.05,4.8,45.0,42.0,0,33,0,10,3,2021-07-03 14:18:22
57,198.23,1.6,43.0,131.0,5,0,0,12,2,2018-07-15 18:49:54
49,519.79,6.0,62.0,49.0,0,0,0,17,5,2018-05-29 17:04:23
52,432.52,7.0,35.0,47.0,2,29,0,26,4,2015-07-09 14:30:09
21,165.11,2.4,24.0,81.0,6,0,0,10,25,2020-11-13 16:31:45
51,15.07,2.3,3.0,5.0,0,0,0,0,0,2021-07-11 11:53:34
39,,4.0,56.0,81.0,1,26,1,19,47,2020-03-18 15:32:37
20,106.63,2.7,25.0,33.0,8,0,0,6,54,2017-08-26 16:09:54
25,117.72,1.4,57.0,74.0,2,0,0,3,13,2017-05-12 16:55:29
25,323.34,1.8,103.0,137.0,0,1,0,18,69,2021-04-14 13:31:46
21,94.02,2.4,8.0,44.0,19,2,0,4,24,2017-04-01 17:51:42
24,10.89,0.6,21.0,3.0,9,0,0,0,25,2020-02-29 18:38:09
69,18.72,1.2,10.0,3.0,0,0,0,1,1,2018-11-22 15:18:32
37,26.21,2.0,12.0,4.0,0,0,0,0,0,2017-04-01 14:28:41
31,1393.69,9.9,99.0,81.0,2,6,1,26,8,2019-05-02 18:04:43
43,894.28,5.1,67.0,154.0,3,1,1,16,49,2018-08-29 18:47:55
21,428.4,5.1,38.0,81.0,2,0,0,7,21,2017-11-21 11:36:51
58,188.42,2.9,40.0,45.0,0,3,0,21,4,2018-12-06 14:36:09
42,409.27,,82.0,141.0,0,6,1,13,41,2019-08-12 17:09:09
31,838.74,9.9,53.0,58.0,0,27,0,10,26,2017-09-15 11:33:14
41,455.07,3.8,62.0,98.0,4,2,1,20,57,2021-07-01 13:22:12
48,798.8,6.0,65.0,117.0,2,0,1,18,3,2019-03-07 13:42:50
57,178.64,4.4,33.0,12.0,0,0,0,26,5,2015-02-18 15:46:44
55,207.66,2.0,55.0,84.0,4,1,0,12,3,2021-04-02 15:26:10
50,294.29,2.8,76.0,58.0,0,0,1,6,1,2020-02-05 18:26:29
59,1020.53,6.1,62.0,151.0,0,0,1,14,1,2015-02-08 12:02:45
43,409.91,3.9,71.0,65.0,0,0,0,16,31,2021-12-09 18:02:22
44,152.88,2.5,31.0,53.0,0,0,3,2,36,2021-12-27 13:40:05
35,320.32,3.2,60.0,58.0,0,3,0,22,2,2018-01-13 12:07:14
39,260.92,3.2,55.0,49.0,2,0,0,26,45,2018-01-10 15:19:20
43,428.12,4.4,38.0,86.0,0,0,2,13,28,2016-09-06 11:55:43
40,283.59,2.4,58.0,103.0,3,44,0,24,26,2021-09-22 11:24:09
33,298.77,3.8,66.0,65.0,26,6,2,0,40,2020-09-26 12:01:30
50,990.85,8.5,60.0,98.0,0,0,0,1,2,2019-09-24 15:36:12
31,201.8,3.3,53.0,20.0,2,34,0,6,23,2016-08-27 15:44:19
54,313.63,2.9,37.0,99.0,'7',0,1,3,1,2019-02-27 13:41:22
50,368.82,3.0,99.0,53.0,2,0,0,2,2,2015-08-10 16:54:13
41,529.76,4.3,53.0,97.0,8,23,0,5,15,2019-11-11 11:35:37
20,397.55,7.9,5.0,74.0,0,0,0,8,26,2017-03-30 18:50:50
49,281.55,2.6,64.0,80.0,0,3,0,9,0,2016-09-25 17:36:33
56,707.07,3.9,71.0,159.0,0,3,0,13,1,2016-05-29 17:02:01
48,23.96,1.5,10.0,9.0,1,0,0,0,0,2019-08-30 16:57:46
58,514.08,5.1,60.0,59.0,0,9,0,12,4,2016-08-18 14:19:49
44,436.6,4.6,50.0,78.0,0,0,0,25,61,2015-04-24 15:34:30
46,627.64,5.9,71.0,64.0,6,6,0,4,5,2021-10-14 12:13:42
66,28.8,1.6,8.0,7.0,0,0,0,4,1,2017-11-28 16:03:58
34,21.42,1.7,,3.0,0,0,0,0,0,2017-03-01 17:40:22
38,472.15,3.8,72.0,75.0,3,5,0,8,7,2015-08-01 16:31:28
28,119.35,1.1,55.0,78.0,0,19,0,5,27,2020-08-24 13:22:57
40,375.19,3.1,107.0,39.0,0,5,0,7,19,2015-03-28 14:41:01
35,335.7,3.4,59.0,72.0,0,0,0,25,52,2021-12-31 14:12:11
30,714.97,9.2,58.0,40.0,0,13,0,1,19,2019-05-04 15:52:18
54,230.86,3.4,38.0,44.0,0,3,0,23,4,2017-02-19 10:15:03
58,159.78,1.1,38.0,152.0,5,20,0,4,1,2020-01-31 10:39:07
26,114.21,1.1,56.0,82.0,4,5,0,22,63,2016-11-22 13:22:23
38,257.7,3.1,78.0,18.0,5,0,0,0,23,2021-06-15 12:28:26
44,216.96,2.6,68.0,35.0,0,2,0,3,36,2018-04-17 18:34:33
40,1223.04,8.0,109.0,86.0,0,7,1,26,9,2016-01-31 17:11:33
36,291.43,3.0,43.0,91.0,3,1,1,16,29,2017-06-23 17:35:40
45,619.42,4.4,55.0,142.0,2,41,0,4,5,2015-11-29 14:45:29
20,195.21,2.7,48.0,62.0,7,0,0,0,26,2021-06-18 14:41:02
46,532.0,3.2,63.0,148.0,1,1,0,13,1,2020-01-07 11:11:33
27,616.11,4.8,59.0,116.0,5,0,3,13,47,2016-11-28 15:41:33
20,283.34,3.2,60.0,77.0,4,2,0,10,28,2021-10-16 16:45:51
36,3577.77,13.8,346.0,55.0,12,26,5,23,11,2017-12-05 17:17:40
54,557.37,3.5,70.0,151.0,0,23,0,1,2,2018-08-05 12:38:26
47,582.98,8.8,34.0,56.0,0,0,0,9,3,2015-06-11 14:06:21
42,1384.07,9.7,65.0,130.0,4,0,0,20,28,2017-09-14 11:17:47
24,168.55,2.1,57.0,66.0,6,0,0,6,59,2020-05-27 11:23:27
37,686.56,6.8,71.0,58.0,1,27,0,22,67,2017-02-12 10:24:14
31,412.01,3.3,68.0,100.0,0,0,0,0,18,2017-12-13 12:52:44
67,2389.13,11.4,184.0,128.0,34,46,0,8,'12',2015-10-05 15:23:24
39,220.68,1.3,71.0,141.0,3,12,0,15,7,2019-09-05 15:46:03
45,510.24,3.6,58.0,138.0,5,40,0,0,2,2016-09-29 12:34:01
46,1162.53,7.3,55.0,150.0,1,5,0,1,5,2019-08-20 17:02:01
19,38.7,0.5,34.0,83.0,9,2,0,0,82,2020-02-26 13:14:17
36,,2.6,64.0,111.0,2,31,2,8,37,2015-06-08 18:29:43
28,399.88,2.7,51.0,159.0,3,36,0,4,9,2017-06-23 10:44:04
33,590.52,3.8,67.0,127.0,0,0,0,14,48,2017-12-30 18:25:34
38,405.45,6.7,35.0,44.0,4,1,0,10,15,2016-05-25 17:32:54
46,538.02,6.1,46.0,59.0,4,27,0,17,2,2020-04-28 11:13:35
20,133.93,2.9,56.0,3.0,27,2,0,1,79,2021-10-28 12:27:27
34,1556.88,10.4,107.0,128.0,29,12,0,12,101,2015-09-06 17:36:44
59,309.01,2.7,58.0,80.0,3,1,0,0,1,2021-05-05 13:15:55
41,168.55,1.8,97.0,8.0,4,0,0,1,24,2017-05-18 13:27:37
49,454.82,3.0,65.0,146.0,0,31,0,19,4,2020-01-10 11:07:02
52,780.57,6.3,52.0,103.0,2,0,0,6,3,2020-10-30 12:39:45
56,140.46,1.5,50.0,76.0,2,3,0,4,3,2021-04-13 10:45:28
31,,3.8,,89.0,0,0,0,0,48,2020-12-27 12:11:03
27,396.34,3.4,49.0,114.0,0,0,0,23,24,2018-06-13 10:58:09
44,208.81,2.2,58.0,68.0,0,41,0,8,37,2016-09-17 15:15:39
39,458.92,4.4,67.0,54.0,0,3,0,19,12,2015-08-21 10:16:49
26,570.04,6.1,64.0,42.0,3,39,0,23,10,2017-10-09 12:12:37
29,137.72,4.7,31.0,3.0,0,0,0,21,12,2016-01-19 11:46:56
45,3009.82,12.6,282.0,93.0,0,27,0,24,9,2016-12-01 13:41:55
43,293.53,2.4,84.0,74.0,0,0,0,16,12,2015-04-29 15:30:02
21,102.9,1.0,34.0,113.0,0,0,0,2,92,2018-08-07 13:36:45
53,296.08,2.8,48.0,99.0,0,22,0,15,1,2016-09-06 11:25:10
53,338.88,3.5,44.0,90.0,0,0,0,14,1,2017-02-26 15:21:09
29,635.43,4.4,136.0,111.0,35,7,2,0,86,2019-08-15 10:55:17
44,485.01,5.4,59.0,56.0,4,15,0,11,13,2020-04-30 13:32:17
58,327.93,3.9,55.0,54.0,0,1,0,0,1,2017-05-09 17:19:22
31,151.16,2.1,55.0,36.0,0,3,0,10,7,2020-10-10 16:55:46
29,259.49,2.2,58.0,87.0,1,42,0,3,10,2015-11-20 13:48:54
30,1522.92,9.8,106.0,131.0,44,4,0,10,114,2017-09-15 12:18:50
47,138.61,1.7,84.0,9.0,0,36,0,5,3,2020-05-26 10:35:17
42,120.5,1.1,58.0,75.0,1,7,0,3,8,2021-03-12 15:37:06
59,334.23,3.3,40.0,102.0,0,0,0,12,3,2016-07-23 18:03:36
59,,2.6,21.0,6.0,0,0,0,4,2,2020-01-09 11:17:25
57,1970.05,7.8,311.0,73.0,25,40,11,59,10,2016-05-18 11:25:15
28,760.41,5.1,103.0,66.0,4,4,1,20,63,2018-01-12 18:48:54
42,3143.21,9.6,356.0,148.0,20,26,0,28,9,2018-05-27 13:58:17
33,1244.44,7.4,,143.0,30,4,0,8,173,2021-04-20 18:37:09
55,583.91,6.3,49.0,76.0,1,0,1,21,1,2019-03-31 17:33:46
20,5.41,0.1,7.0,73.0,10,0,0,7,18,2017-09-03 15:11:40
30,2868.0,20.0,106.0,101.0,64,5,0,0,101,2021-08-29 12:33:56
30,3505.32,20.0,124.0,155.0,84,8,0,7,59,2016-06-21 17:36:31
26,636.02,5.9,62.0,65.0,4,3,0,23,31,2020-04-10 13:30:35
40,797.72,7.7,36.0,94.0,6,2,3,6,52,2018-09-14 11:36:14
53,477.75,5.0,50.0,79.0,0,28,0,6,4,2018-10-19 17:07:50
49,13.92,1.7,6.0,4.0,0,0,0,0,0,2020-01-09 11:41:18
29,1056.62,8.2,112.0,108.0,32,6,0,12,83,2020-07-01 10:57:20
44,601.07,5.6,60.0,83.0,3,45,0,6,9,2018-06-15 10:54:13
48,404.24,3.8,52.0,92.0,4,0,0,16,3,2020-04-17 15:46:45
31,893.39,5.5,108.0,102.0,2,3,0,10,23,2018-02-05 15:32:27
60,145.14,2.1,45.0,41.0,7,7,3,0,2,2019-04-29 11:21:23
